Handle,Brand,Color,Quantity,Size
BNV0667,ANDY ANAND COUTURE,WHITE,1,8
BNV0673,ANDY ANAND COUTURE,WHITE,1,8
BNV0672,ANDY ANAND COUTURE,WHITE,1,8
BNV0679,ANDY ANAND COUTURE,WHITE,1,12
BNV0698,ANDY ANAND COUTURE,WHITE,1,4
BNV0687,ANDY ANAND COUTURE,WHITE,1,6
BNV0745,ANDY ANAND COUTURE,WHITE,1,10
AT1134,MILANO FORMALS,WHITE,2,40
NV8578,MILANO FORMALS,CORAL,10,8
NV8578,MILANO FORMALS,CORAL,1,6
B429,MILANO FORMALS,CORAL,1,14
B429,MILANO FORMALS,CORAL,1,16
NV8578,MILANO FORMALS,CORAL,3,10
NV8578,MILANO FORMALS,CORAL,4,4
NV7475,MILANO FORMALS,CHERRY,3,2
NV7475,MILANO FORMALS,CHERRY,4,8
NV7475,MILANO FORMALS,CHERRY,5,4
NV7475,MILANO FORMALS,CHERRY,2,6
NV7475,MILANO FORMALS,CHERRY,2,10
NV7459,MILANO FORMALS,TEAL,4,6
NV7459,MILANO FORMALS,TEAL,1,6
NV7459,MILANO FORMALS,TEAL,1,14
NV7459,MILANO FORMALS,TEAL,2,0
NV7459,MILANO FORMALS,TEAL,4,8
