Handle,Color,Size,Brand,Quantity
B429,POOL,8,MILANO FORMALS,3
B429,POOL,10,MILANO FORMALS,1
B429,POOL,12,MILANO FORMALS,3
B429,PURPLE,0,MILANO FORMALS,1
B429,PURPLE,2,MILANO FORMALS,6
B429,PURPLE,20,MILANO FORMALS,2
B429,PURPLE,24,MILANO FORMALS,22
B429,PURPLE,30,MILANO FORMALS,4
B429,PURPLE,34,MILANO FORMALS,6
B429,PURPLE,38,MILANO FORMALS,6
B429,PURPLE,40,MILANO FORMALS,9
B429,RED,10,MILANO FORMALS,1
B429,RED,20,MILANO FORMALS,1
B429,RED,30,MILANO FORMALS,47
B429,RED,34,MILANO FORMALS,71
B429,RED,38,MILANO FORMALS,8
B429,RED,40,MILANO FORMALS,1
B429,ROYAL,2,MILANO FORMALS,1
B429,ROYAL,6,MILANO FORMALS,1
B429,ROYAL,14,MILANO FORMALS,3
B429,ROYAL,22,MILANO FORMALS,1
B429,ROYAL,26,MILANO FORMALS,1
B429,ROYAL,34,MILANO FORMALS,23
B429,ROYAL,38,MILANO FORMALS,16
B429,ROYAL,40,MILANO FORMALS,28
B429,ROYAL BLUE,8,MILANO FORMALS,1
B429,ROYAL BLUE,14,MILANO FORMALS,2
B429,ROYAL BLUE,34,MILANO FORMALS,34
B429,ROYAL BLUE,38,MILANO FORMALS,5
B429,ROYAL BLUE,40,MILANO FORMALS,3
B429,SAGE,0,MILANO FORMALS,3
B429,SAGE,8,MILANO FORMALS,4
B429,SAGE,14,MILANO FORMALS,1
B429,SAGE,16,MILANO FORMALS,5
B429,SAGE,26,MILANO FORMALS,1
B429,SAGE,30,MILANO FORMALS,18
B429,SAGE,34,MILANO FORMALS,34
B429,SAGE,38,MILANO FORMALS,32
B429,SAGE,40,MILANO FORMALS,30
B429,SILVER,2,MILANO FORMALS,2
B429,SILVER,34,MILANO FORMALS,21
B429,SILVER,38,MILANO FORMALS,22
B429,SILVER,40,MILANO FORMALS,22
B429,SKY BLUE,8,MILANO FORMALS,4
B429,SKY BLUE,10,MILANO FORMALS,1
B429,SKY BLUE,14,MILANO FORMALS,5
B429,SKY BLUE,16,MILANO FORMALS,5
B429,SKY BLUE,18,MILANO FORMALS,1
B429,SKY BLUE,20,MILANO FORMALS,6
B429,SKY BLUE,22,MILANO FORMALS,2
B429,SKY BLUE,24,MILANO FORMALS,4
B429,SKY BLUE,26,MILANO FORMALS,15
B429,SKY BLUE,30,MILANO FORMALS,60
B429,SKY BLUE,34,MILANO FORMALS,84
B429,SKY BLUE,38,MILANO FORMALS,38
B429,SKY BLUE,40,MILANO FORMALS,31
B429,TEAL,22,MILANO FORMALS,1
B429,TRUFFLE,10,MILANO FORMALS,18
B429,TRUFFLE,12,MILANO FORMALS,1
B429,TRUFFLE,30,MILANO FORMALS,7
B429,TRUFFLE,34,MILANO FORMALS,17
B429,TRUFFLE,38,MILANO FORMALS,24
B429,TRUFFLE,40,MILANO FORMALS,21
B429,TURQUOISE,18,MILANO FORMALS,3
B429,TURQUOISE,22,MILANO FORMALS,7
B429,TURQUOISE,26,MILANO FORMALS,6
B429,TURQUOISE,30,MILANO FORMALS,2
B429,TURQUOISE,34,MILANO FORMALS,7
B429,TURQUOISE,38,MILANO FORMALS,7
B429,TURQUOISE,40,MILANO FORMALS,12
B429,VICTORIA LILAC,8,MILANO FORMALS,4
B429,VICTORIA LILAC,18,MILANO FORMALS,1
B429,VICTORIA LILAC,22,MILANO FORMALS,4
