STYLE NO.,COLOR,BOXES NEEDED
AA9271,IVORY,"[456, 543, 455]"
AA9319,IVORY,"[826, 652, 455]"
E1593,POOL,"[456, 746]"
B9000,TRUFFLE,"[730, 778, 461]"
E1875,BLACK,"[603, 461]"
B9000,PURPLE,"[474, 637, 461]"
E1729,PRINT,[463]
E2701,ROSE,"[841, 723, 735]"
B8898,CORAL,[464]
E1119,CHAMPAGNE,[465]
E2495,SKY BLUE,[682]
E1371,APPLERED WHITE,[466]
E2437,NAVY PRINT,"[467, 492]"
E2160,FUCHSIA,[468]
B8865,TRUFFLE,"[656, 618]"
E1168,SAGE,"[523, 588, 469]"
E2774,BLACK,"[716, 717]"
B8486,BLACK/LILAC,[568]
B9000,DUSTY PINK,"[649, 474]"
E1168,TEAL,"[476, 524]"
E1676,BLUE/PINK,[591]
E1259,PINK,[479]
AA9318,,[]
E2494,SANGRIA,"[481, 701]"
E2503,SKY BLUE,[641]
AA222,WHITE,"[625, 482, 570, 623]"
AA9310,WHITE,"[482, 827, 652, 541]"
E1044,DARK CELADON,[484]
B8921,LIGHT GREEN,[484]
B8608,LILAC,[603]
B8896,LILAC/WHITE,[484]
E1386,LILAC,"[484, 487]"
E1954,PLUM,[794]
E1762,PURPLE,[485]
E1582,BURGUNDY,"[531, 485]"
B8865,SILVER,[486]
B8896,SILVER,[486]
B8921,VIOLET,[486]
E1371,SAGE,"[854, 850, 486]"
E1930,BLACK,"[805, 486]"
E1937,BLACK,[486]
B8896,TRUFFLE,[487]
B8921,TRUFFLE,[487]
B8940,TRUFFLE,[487]
E1387,TURQUOISE,[761]
B2498,BLUSH,[489]
B2493,PEACH,[489]
B1259,SKY BLUE,[490]
B2322,BLUSH,[490]
B2501,BLUSH,[490]
B2496,PEACH,[490]
AA9329,,[]
E1168,TRUFFLE,"[555, 494, 627, 696, 637]"
E1168,BURGUNDY,[494]
AA222,IVORY,[495]
E1270,CORAL,"[819, 655]"
E2078,BURGUNDY,[497]
E2510,IVORY,[498]
E1822,IVORY,[498]
E2537,IVORY,[498]
E1068,BURGUNDY,"[536, 499]"
E2136,NAVY,"[499, 605]"
E2493,PEACH,"[707, 854]"
E1676,BLUE/FUCHSIA,[500]
AA9254,IVORY,"[501, 758]"
AA9312,IVORY,"[705, 501]"
AA9317,IVORY,"[538, 652, 501]"
E2049,PLATINUM,[502]
G1116,POOL,[503]
E1637,BLACK,"[857, 503]"
B8998,POOL,[654]
E2554,,[]
E9314,WHITE,[505]
E2554,GOLD,"[505, 516]"
570,SKY BLUE,[508]
E1531,PURPLE,"[617, 562, 713, 725]"
E2780,ROYAL,[510]
E1064,MINT,[739]
E1573,CORAL,"[517, 806]"
E1942,ROYAL,[525]
E1340,BLACK,"[612, 526, 791]"
E9000,BURNT ORANGE,[529]
E1844,MINT,[531]
E2262,BLACK,"[581, 533]"
E1596,PURPLE,[533]
AA9329,IVORY,[538]
AA9314,WHITE,"[719, 541, 839, 543]"
E1068,KIWI,[813]
AA9318,WHITE,"[600, 706, 827, 542]"
B9000,LILAC,[657]
E2107,NAVY,"[624, 847]"
88468,BLACK,[549]
E2086,BURGUNDY,[550]
AA9349,WHITE,[551]
E1028,WHITE,[551]
E1270,LILAC,[555]
E1013,LILAC,[799]
E1795,IVORY,[561]
E1275,DARK LILAC,"[565, 694]"
E2322,PEAL,[566]
E1295,FUCHSIA,"[568, 700]"
E1387,GREEN,"[769, 570, 819]"
E2318,BLUE,"[584, 571, 804]"
E2501,LAVENDER,"[673, 687]"
E2165,FUCHSIA,[598]
B8865,CLARET,"[661, 599]"
AA9257,,[]
AA9331,,[]
AA9270,IVORY,[579]
AA9313,WHITE,"[580, 839]"
B8608,PINK,[603]
B8998,WHITE,"[586, 795, 645]"
BZ570,TRUFFLE,[587]
E2501,BLUSH,"[690, 639]"
E2267,ROYAL BLUE,[590]
E2498,BLUE,[687]
AA222,,[]
E1931,NAVY,"[857, 593, 599]"
E2570,BURGUNDY,"[856, 594, 751]"
E1694,TEAL,[594]
E2753,SKY BLUE,[594]
E1285,LILAC,[712]
E1265,COFFEE,[601]
E1265,BLUE,"[601, 635]"
E1442,BLACK,[601]
B8896,PURPLE/WHITE,[601]
E1950,BLACK,"[603, 805]"
B8968,GREEN,[605]
E2705,GOLD,[605]
B1857,NAVY,[605]
E1024,BANANA,[607]
E1024,MINT,[607]
E2096,WHITE/BLACK,[608]
42113,APRICOT,[609]
E1378,RED,[609]
E1278,GREY,[611]
E2251,RED,"[611, 612]"
E1581,BLACK,"[697, 613]"
E1537,BLACK,[613]
E1379,CORAL,[614]
E8865,TRUFFLE,[616]
E1250,CORAL,[619]
B8998,SANGRIA,[620]
B8998,ROYAL,[739]
AA9270,LAVENDER,[621]
G1116,SKY BLUE,[622]
42213,PINK,[623]
E2043,ROSE/QUARTZ,[623]
E1119,VICTORIA LILAC,[835]
E1032,PISTACHIO,[626]
E1032,SUNSHINE,[626]
E1194,SKY BLUE,"[627, 700]"
G1116,APPLE RED,[629]
E2042,BURGUNDY,[632]
E1861,RED,[632]
AA9256,,[]
AA9314,,[]
G1116,RED,[635]
E0021,CORAL,[635]
F1116,SKY BLUE,[636]
E2301,GREY,[636]
B8967,GREEN,[637]
E2501,MINT,[638]
E2403,BLACK,[642]
,SAGE,[]
B8486,BLACK/LIME,[644]
B1260,TRUFFLE,[644]
BZ570,POOL,"[716, 725, 653]"
E1295,SAGE,"[725, 653]"
E2431,RED,[657]
E2785,GOLD,[658]
E1696,RED,"[659, 807]"
B8588,SKYBLUE/BLACK,[660]
B8506,PINK,[660]
E1089,PEACH,[662]
B8894,BROWN/CHAMPAGNE,[664]
E2111,MINT,[665]
E2144,MINT,[668]
B8859,BLACK,[672]
E2160,WHITE PRINT,[672]
E1327,BLACK,"[674, 677]"
E1379,WATERMELON,"[675, 847]"
42113,PINK,[676]
B8865,ROYAL,[676]
E1340,CORAL,[678]
E1340,RED,[678]
570,WHITE,[681]
E1909,GREY,[684]
E2497,MINT,[686]
E1118,CORAL,[688]
E1118,PURPLE,[688]
E1502,RED,[693]
E1849,BLACK,[693]
E1940,GUNMETAL,[694]
E1767,BLACK,[694]
E1918,BOTTLE GREEN,[694]
E1767,BLACK/SILVER,[699]
E2385,GOLD/BLACK,"[722, 700]"
E1119,BURGUNDY,"[704, 850]"
B8660,MELON,[704]
1116,NAVY,[706]
E2344,BLACK/NUDE,[708]
E1824,POOL,[708]
E1904,BLACK,[708]
E2072,BLACK,[708]
AA9305,IVORY,[710]
AA9271,IVORY/CHAMPAGNE,[710]
E1168,RED,[713]
B1194,SKY BLUE,[713]
B1502,CLARET,[713]
E1319,WHITE/BLACK,[714]
E1294,TEAL,[714]
E1295,WATERMELON,[720]
E1502,POOL,[725]
AA219,,[]
E1502,,[]
E2356,BLACK PRINT,[726]
E2160,ROYAL,[726]
5134,,[]
E2162,RAINBOW,[728]
E2436,BLACK PRINT,"[841, 729]"
AA9312,,[]
E1698,CORAL,[730]
B8896,TRUFFLE/WHITE,[731]
E1168,VICTORIA LILAC,[732]
E1879,PURPLE,[732]
E2500,BLUSH,[734]
E2046,NAVY,[736]
E1513,CORAL,[738]
E1064,CHARCOAL,[745]
E2018,PEACOCK/GREEN,[746]
E2180,WINE,[751]
B8998,TRUFFLE,"[752, 753]"
E2053,PEACOCK,"[754, 787]"
AA9330,,[]
AA9319,,[]
E9312,IVORY,[758]
E2210,SILVER,[762]
E2243,BLACK/RED,[788]
E1024,PERSIMMON,[768]
G1116,PINK,[770]
E1312,SANGRIA,[777]
E1127,DARK PINK,[777]
E2053,TEAL,[777]
E2088,DUSTY ROSE,[779]
E2121,MIDNIGHT,[779]
E1379,TEAL,[779]
E2076,WINE,[779]
E2498,TEAL,[784]
E1013,FUCHSIA,[785]
E1696,BLUE/PINK,[785]
E1371,TRUFFLE/WHITE,[786]
E2296,GREEN/PURPLE,"[856, 789]"
E1838,BLACK,[792]
E1168,LILAC,[792]
B8588,SKY BLUE,[793]
E2497,BLUSH,[795]
E2493,AQUA,[796]
E2433,BLACK/PRINT,[797]
4386,BLACK,"[849, 803]"
E2110,BLACK,[803]
2260,BLACK/RED,[803]
E1683,WHITE,[803]
E2258,CHARCOAL,[804]
E2561,NAVY,[804]
E1264,ORANGE,[806]
E1796,LAVENDER,[806]
E1548,PINK,[806]
E1285,PURPLE,"[847, 807]"
E1573,SKY BLUE,[807]
E1264,LILAC,[807]
E1013,CLARET,[807]
E2256,BLACK,[807]
F1116,APPLE,[808]
