BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,SIZE_US,QUANTITY,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,Handle
23,E1379,MILANO FORMALS,TRUFFLE,8,8,2,3033,Bridesmaid,E1379_TRUFFLE_8,,,,,,,NV8620
23,E2602,MILANO FORMALS,BLACK,4,4,3,3033,#N/A,E2602_BLACK_4,,,,,,,NV7397
23,E1379,MILANO FORMALS,PEACOCK,10,10,3,3033,Bridesmaid,E1379_PEACOCK_10,,,,,,,NV8620
23,E2602,MILANO FORMALS,BLACK,8,8,4,3033,#N/A,E2602_BLACK_8,,,,,,,NV7397
24,E1605,MILANO FORMALS,PURPLE,4,4,1,3033,#N/A,E1605_PURPLE_4,,,,,,,NV8394
24,E2225,MILANO FORMALS,BLACK/GREEN,4,4,1,3033,#N/A,E2225_BLACK/GREEN_4,,,,,,,NV7774
24,E2225,MILANO FORMALS,BLACK/GREEN,6,6,1,3033,#N/A,E2225_BLACK/GREEN_6,,,,,,,NV7774
24,E2225,MILANO FORMALS,BLACK/GREEN,8,8,1,3033,#N/A,E2225_BLACK/GREEN_8,,,,,,,NV7774
24,F570,MILANO FORMALS,NAVY,2XL,18,1,3033,#N/A,F570_NAVY_18,,,,,,,B429
24,F570,MILANO FORMALS,BANANA YELLOW,4XL,26,1,3033,#N/A,F570_BANANA YELLOW_26,,,,,,,B429
24,F570,MILANO FORMALS,NAVY,7XL,38,1,3033,#N/A,F570_NAVY_38,,,,,,,B429
24,F570,MILANO FORMALS,BANANA YELLOW,7XL,38,1,3033,#N/A,F570_BANANA YELLOW_38,,,,,,,B429
24,E1421,MILANO FORMALS,CORAL,6,6,2,3033,Bridesmaid,E1421_CORAL_6,,,,,,,NV8578
24,E1531,MILANO FORMALS,CORAL,6,6,2,3033,Bridesmaid,E1531_CORAL_6,,,,,,,NV8468
24,E1605,MILANO FORMALS,PURPLE,2,2,3,3033,#N/A,E1605_PURPLE_2,,,,,,,NV8394
24,F570,MILANO FORMALS,NAVY,5XL,30,3,3033,#N/A,F570_NAVY_30,,,,,,,B429
24,F570,MILANO FORMALS,BANANA YELLOW,3XL,22,4,3033,#N/A,F570_BANANA YELLOW_22,,,,,,,B429
25,E1420,MILANO FORMALS,PURPLE,4,4,1,3033,Bridesmaid,E1420_PURPLE_4,,,,,,,NV8579
