STYLE NO.,COLOR,SIZE,BRAND NAME,QUANTITY
E1168,TRUFFLE,4,,2.0
E1168,TRUFFLE,5XL,,1.0
E1168,TRUFFLE,8,,1.0
E1168,TRUFFLE,L,,6.0
E1168,TRUFFLE,M,,6.0
E1168,TRUFFLE,S,,10.0
E1168,TRUFFLE,XL,,8.0
E1168,VICTORIA LILAC,14,,1.0
E1168,VICTORIA LILAC,22,,2.0
E1260,CLARET,30,,1.0
E1260,JADE,M,,13.0
E1260,JADE,S,,22.0
E1260,PINK,14,,1.0
E1260,PINK,M,,3.0
E1260,PURPLE,24,,1.0
E1260,SKY BLUE,38,,1.0
E1260,SKY BLUE,4,,8.0
E1260,SKY BLUE,4XL,,1.0
E1260,SKY BLUE,5XL,,3.0
E1260,SKY BLUE,6,,2.0
E1260,SKY BLUE,7XL,,1.0
E1260,SKY BLUE,8,,6.0
E1260,SKY BLUE,M,,1.0
E1260,SKY BLUE,S,,6.0
E1260,TRUFFLE,10,,1.0
E1260,TRUFFLE,12,,7.0
E1260,TRUFFLE,16,,4.0
E1260,TRUFFLE,18,,1.0
E1260,TRUFFLE,20,,2.0
E1260,TRUFFLE,4,,5.0
E1260,TRUFFLE,6,,6.0
E1260,TRUFFLE,8,,11.0
E1260,TRUFFLE,S,,7.0
E1264,APPLE RED,2,,1.0
E1264,APPLE RED,8XL,,2.0
E1264,BLACK,0,,5.0
E1264,BLACK,2,,1.0
E1264,BLACK,24,,1.0
E1264,BLACK,34,,1.0
E1264,BLACK,4,,4.0
E1264,BLACK,5XL,,1.0
E1264,BLACK,7XL,,1.0
E1264,BLACK,8XL,,1.0
E1264,CLARET,12,,3.0
E1264,CLARET,14,,1.0
E1264,CLARET,16,,2.0
E1264,CLARET,18,,2.0
E1264,CLARET,2,,1.0
E1264,CLARET,30,,1.0
E1264,CLARET,32,,2.0
E1264,CLARET,36,,2.0
E1264,CLARET,4,,1.0
E1264,CLARET,40,,1.0
E1264,CLARET,7XL,,3.0
E1264,CLARET,8,,2.0
E1264,CORAL,10,,1.0
E1264,CORAL,12,,2.0
E1264,CORAL,16,,2.0
E1264,CORAL,20,,7.0
E1264,CORAL,24,,6.0
E1264,CORAL,26,,2.0
E1264,CORAL,2XL,,1.0
E1264,CORAL,30,,3.0
E1264,CORAL,32,,1.0
E1264,CORAL,34,,3.0
E1264,CORAL,38,,4.0
E1264,CORAL,4,,4.0
E1264,CORAL,8,,6.0
E1264,CORAL,8XL,,4.0
E1264,CORAL,L,,1.0
E1264,CORAL,XL,,1.0
E1264,LILAC,12,,1.0
E1264,LILAC,18,,1.0
E1264,LILAC,20,,2.0
E1264,LILAC,24,,1.0
E1264,LILAC,28,,1.0
E1264,NAVY,14,,1.0
E1264,NAVY,L,,1.0
E1264,NAVY,S,,3.0
E1264,ORANGE,S,,1.0
E1264,SAGE,4,,1.0
E1264,SILVER,16,,1.0
E1264,TEAL,20,,4.0
E1264,TEAL,24,,5.0
E1264,TEAL,26,,4.0
E1264,TEAL,28,,0.0
E1264,TEAL,30,,9.0
E1264,TEAL,32,,6.0
E1264,TEAL,36,,4.0
E1264,TEAL,4,,4.0
E1264,TEAL,40,,4.0
E1264,TEAL,4XL,,1.0
E1264,TEAL,6XL,,1.0
E1264,TEAL,8,,2.0
E1264,VICTORIA LILAC,6XL,,1.0
E1270,CORAL,10,,1.0
E1270,CORAL,12,,3.0
E1270,CORAL,20,,1.0
E1270,CORAL,24,,4.0
E1270,CORAL,28,,1.0
E1270,CORAL,32,,5.0
E1270,CORAL,36,,4.0
E1270,CORAL,4,,11.0
E1270,CORAL,40,,1.0
E1270,CORAL,6,,4.0
E1270,CORAL,8,,3.0
E1270,FUCHSIA,10,,11.0
E1270,FUCHSIA,4,,16.0
E1270,FUCHSIA,6,,18.0
E1270,FUCHSIA,8,,12.0
